name,iata_code
Spokane International Airport,GEG
Grand Forks International Airport,GFK
East Texas Regional Airport,GGG
Glasgow Valley County Airport Wokal Field,GGW
Grand Junction Regional Airport,GJT
Mid Delta Regional Airport,GLH
Gainesville Regional Airport,GNV
Glacier Park International Airport,FCA
Gulfport Biloxi International Airport,GPT
Austin Straubel International Airport,GRB
Central Nebraska Regional Airport,GRI
Killeen Regional Airport / Robert Gray Army Airfield,GRK
Gerald R. Ford International Airport,GRR
Piedmont Triad International Airport,GSO
Greenville Spartanburg International Airport,GSP
Great Falls International Airport,GTF
Golden Triangle Regional Airport,GTR
Gunnison Crested Butte Regional Airport,GUC
Gallup Municipal Airport,GUP
Techo International Airport,KTI
Yampa Valley Airport,HDN
Hagerstown Regional Richard A Henson Field,HGR
Jack Northrop Field Hawthorne Municipal Airport,HHR
Range Regional Airport,HIB
Helena Regional Airport,HLN
Lea County Regional Airport,HOB
Memorial Field Airport,HOT
William P Hobby Airport,HOU
Westchester County Airport,HPN
Valley International Airport,HRL
Boone County Airport,HRO
Huntsville International Carl T Jones Field,HSV
Tri-State Airport / Milton J. Ferguson Field,HTS
Tweed New Haven Airport,HVN
Havre City County Airport,HVR
Hilton Head Airport,HHH
Cape Cod Gateway Airport,HYA
Hays Regional Airport,HYS
Washington Dulles International Airport,IAD
Niagara Falls International Airport,IAG
George Bush Intercontinental Houston Airport,IAH
Wichita Eisenhower National Airport,ICT
Idaho Falls Regional Airport,IDA
Wilmington Airport,ILG
Wilmington International Airport,ILM
Ford Airport,IMT
Indianapolis International Airport,IND
Falls International Airport,INL
Imperial County Airport,IPL
Williamsport Regional Airport,IPT
Kirksville Regional Airport,IRK
Long Island Mac Arthur Airport,ISP
Ithaca Tompkins Regional Airport,ITH
Mesa Gateway Airport,AZA
Jackson Hole Airport,JAC
Jackson-Medgar Wiley Evers International Airport,JAN
Jacksonville International Airport,JAX
Jonesboro Municipal Airport,JBR
John F Kennedy International Airport,JFK
Joplin Regional Airport,JLN
Jamestown Regional Airport,JMS
Concord-Padgett Regional Airport,USA
John Murtha Johnstown Cambria County Airport,JST
Purdue University Airport,LAF
Lakeland Linder International Airport,LAL
Capital City Airport,LAN
Laramie Regional Airport,LAR
Harry Reid International Airport,LAS
Lawton Fort Sill Regional Airport,LAW
Los Angeles International Airport,LAX
Lubbock Preston Smith International Airport,LBB
Arnold Palmer Regional Airport,LBE
North Platte Regional Airport Lee Bird Field,LBF
Liberal Mid-America Regional Airport,LBL
Lake Charles Regional Airport,LCH
Rickenbacker International Airport,LCK
Lebanon Municipal Airport,LEB
Blue Grass Airport,LEX
Lafayette Regional Airport,LFT
LaGuardia Airport,LGA
Long Beach Airport (Daugherty Field),LGB
Bill & Hillary Clinton National Airport/Adams Field,LIT
Lincoln Airport,LNK
Lancaster Airport,LNS
Laredo International Airport,LRD
Las Cruces International Airport,LRU
La Crosse Regional Airport,LSE
Cincinnati Municipal Airport Lunken Field,LUK
Greenbrier Valley Airport,LWB
Lewiston Nez Perce County Airport,LWS
Lynchburg Regional Airport - Preston Glenn Field,LYH
Midland International Air and Space Port,MAF
MBS International Airport,MBS
Merced Regional Macready Field,MCE
Kansas City International Airport,MCI
McCook Ben Nelson Regional Airport,MCK
Middle Georgia Regional Airport,MCN
Orlando International Airport,MCO
Mason City Municipal Airport,MCW
Harrisburg International Airport,MDT
Chicago Midway International Airport,MDW
Key Field / Meridian Regional Airport,MEI
Memphis International Airport,MEM
McAllen Miller International Airport,MFE
Rogue Valley International Medford Airport,MFR
Montgomery Regional (Dannelly Field) Airport,MGM
Morgantown Municipal Airport Walter L. (Bill) Hart Field,MGW
Manhattan Regional Airport,MHK
Manchester-Boston Regional Airport,MHT
Miami International Airport,MIA
General Mitchell International Airport,MKE
Muskegon County Airport,MKG
McKellar-Sipes Regional Airport,MKL
Melbourne Orlando International Airport,MLB
Quad City International Airport,MLI
Monroe Regional Airport,MLU
Mobile Regional Airport,MOB
Minot International Airport,MOT
Monterey Peninsula Airport,MRY
Northwest Alabama Regional Airport,MSL
Dane County Regional Truax Field,MSN
Missoula International Airport,MSO
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MSP
Massena International Airport Richards Field,MSS
Louis Armstrong New Orleans International Airport,MSY
Montrose Regional Airport,MTJ
Veterans Airport of Southern Illinois,MWA
McCall Municipal Airport,MYL
Myrtle Beach International Airport,MYR
Yuma International Airport / Marine Corps Air Station Yuma,YUM
Albert J Ellis Airport,OAJ
San Francisco Bay Oakland International Airport,OAK
Ogden Hinckley Airport,OGD
Ogdensburg International Airport,OGS
Will Rogers World Airport,OKC
L M Clayton Airport,OLF
Olympia Regional Airport,OLM
Eppley Airfield,OMA
Ontario International Airport,ONT
Miami-Opa Locka Executive Airport,OPF
Chicago O'Hare International Airport,ORD
Norfolk International Airport,ORF
Worcester Regional Airport,ORH
Orcas Island Airport,ESD
Southwest Oregon Regional Airport,OTH
Owensboro Daviess County Airport,OWB
Seattle Paine Field International Airport,PAE
Barkley Regional Airport,PAH
Plattsburgh International Airport,PBG
Palm Beach International Airport,PBI
DeKalb Peachtree Airport,PDK
Eastern Oregon Regional Airport at Pendleton,PDT
Portland International Airport,PDX
Page Municipal Airport,PGA
Punta Gorda Airport,PGD
Pitt-Greenville Airport,PGV
Newport News Williamsburg International Airport,PHF
Philadelphia International Airport,PHL
Phoenix Sky Harbor International Airport,PHX
General Wayne A. Downing Peoria International Airport,PIA
Hattiesburg Laurel Regional Airport,PIB
St. Petersburg Clearwater International Airport,PIE
Pocatello Regional Airport,PIH
Pierre Regional Airport,PIR
Pittsburgh International Airport,PIT
Mid Ohio Valley Regional Airport,PKB
Pellston Regional Airport of Emmet County Airport,PLN
Pensacola International Airport,PNS
Presque Isle International Airport,PQI
Prescott International Airport - Ernest A. Love Field,PRC
Tri Cities Airport,PSC
Portsmouth International at Pease Airport,PSM
Palm Springs International Airport,PSP
Pueblo Memorial Airport,PUB
Pullman-Moscow Regional Airport,PUW
Theodore Francis Green State Airport,PVD
Provo-Utah Lake International Airport,PVU
Portland International Jetport,PWM
Rapid City Regional Airport,RAP
Redding Municipal Airport,RDD
Roberts Field,RDM
Raleigh Durham International Airport,RDU
Chicago Rockford International Airport,RFD
Rhinelander Oneida County Airport,RHI
Richmond International Airport,RIC
Central Wyoming Regional Airport,RIW
Knox County Regional Airport,RKD
Southwest Wyoming Regional Airport,RKS
Reno Tahoe International Airport,RNO
Roanoke–Blacksburg Regional Airport,ROA
Frederick Douglass Greater Rochester International Airport,ROC
Roswell Air Center Airport,ROW
Rochester International Airport,RST
Southwest Florida International Airport,RSW
Rutland - Southern Vermont Regional Airport,RUT
Santa Fe Municipal Airport,SAF
San Diego International Airport,SAN
San Antonio International Airport,SAT
Savannah Hilton Head International Airport,SAV
Marquette/Sawyer International Airport,MQT
Santa Barbara Municipal Airport,SBA
San Bernardino International Airport,SBD
South Bend Regional Airport,SBN
San Luis County Regional Airport,SBP
Salisbury Ocean City Wicomico Regional Airport,SBY
Stockton Metropolitan Airport,SCK
Louisville Muhammad Ali International Airport,SDF
Sidney - Richland Regional Airport,SDY
Seattle–Tacoma International Airport,SEA
Orlando Sanford International Airport,SFB
San Francisco International Airport,SFO
Springfield Branson National Airport,SGF
Northeast Florida Regional Airport,UST
St George Regional Airport,SGU
Shenandoah Valley Regional Airport,SHD
Sheridan County Airport,SHR
Shreveport Regional Airport,SHV
Norman Y. Mineta San Jose International Airport,SJC
San Angelo Regional Mathis Field,SJT
Taos Regional Airport,TSM
Salt Lake City International Airport,SLC
Salem-Willamette Valley Airport/McNary Field,SLE
Adirondack Regional Airport,SLK
Salina Municipal Airport,SLN
Sacramento International Airport,SMF
Lemhi County Airport,SMN
Santa Maria Public Airport Captain G Allan Hancock Field,SMX
John Wayne Orange County International Airport,SNA
Show Low Regional Airport,SOW
Abraham Lincoln Capital Airport,SPI
Wichita Falls Municipal Airport / Sheppard Air Force Base,SPS
San Carlos Airport,SQL
Sarasota Bradenton International Airport,SRQ
Saint Cloud Regional Airport,STC
St. Louis Lambert International Airport,STL
Charles M. Schulz Sonoma County Airport,STS
Friedman Memorial Airport,SUN
Sioux Gateway Airport / Brigadier General Bud Day Field,SUX
Grant County Airport,SVC
New York Stewart International Airport,SWF
Stillwater Regional Airport,SWO
Syracuse Hancock International Airport,SYR
Waynesville-St. Robert Regional Airport-Forney Field,TBN
Teterboro Airport,TEB
Telluride Regional Airport,TEX
Tacoma Narrows Airport,TIW
Tallahassee Regional Airport,TLH
Eugene F. Kranz Toledo Express Airport,TOL
Tampa International Airport,TPA
Tri-Cities Regional TN/VA Airport,TRI
Truckee Tahoe Airport,TKF
Trenton Mercer Airport,TTN
Tulsa International Airport,TUL
Tupelo Regional Airport,TUP
Tucson International Airport / Morris Air National Guard Base,TUS
Cherry Capital Airport,TVC
Thief River Falls Regional Airport,TVF
Joslin Field Magic Valley Regional Airport,TWF
Texarkana Regional Airport (Webb Field),TXK
Tyler Pounds Regional Airport,TYR
McGhee Tyson Airport,TYS
Quincy Regional Airport Baldwin Field,UIN
State College Regional Airport,SCE
Victoria Regional Airport,VCT
Vernal Regional Airport,VEL
Valdosta Regional Airport,VLD
Destin-Fort Walton Beach Airport,VPS
Vero Beach Regional Airport,VRB
Westerly State Airport,WST
Yellowstone Airport,WYS
Northwest Arkansas National Airport,XNA
Williston Basin International Airport,XWA
Yakima Air Terminal McAllister Field,YKM
Bokeo International Airport,BOR
Tirana International Airport Mother Teresa,TIA
Burgas Airport,BOJ
Plovdiv International Airport,PDV
Sofia Airport,SOF
Varna Airport,VAR
Nicosia (Lefkoşa) Ercan International Airport,ECN
Lefkoniko Airport / Geçitkale Air Base,GEC
Larnaca International Airport,LCA
Paphos International Airport,PFO
Dubrovnik Ruđer Bošković Airport,DBV
Osijek Airport,OSI
Pula Airport,PUY
Rijeka Airport,RJK
Brač Airport,BWK
Split Airport,SPU
Zagreb Franjo Tuđman International Airport,ZAG
Zadar Airport,ZAD
Alicante-Elche Miguel Hernández Airport,ALC
Almería Airport,LEI
Asturias Airport,OVD
Bilbao Airport,BIO
Josep Tarradellas Barcelona-El Prat Airport,BCN
Badajoz Airport,BJZ
Castellón-Costa Azahar Airport,CDT
A Coruña Airport,LCG
Lleida-Alguaire Airport,ILD
Girona-Costa Brava Airport,GRO
F.G.L. Airport Granada-Jaén Airport,GRX
Ibiza Airport,IBZ
Jerez Airport,XRY
León Int'l Airport,LEN
Adolfo Suárez Madrid–Barajas Airport,MAD
Málaga-Costa del Sol Airport,AGP
Menorca Airport,MAH
Región de Murcia International Airport,RMU
Palma de Mallorca Airport,PMI
Pamplona Airport,PNA
Reus Airport,REU
Salamanca Airport,SLM
San Sebastián Airport,EAS
Santiago-Rosalía de Castro Airport,SCQ
Valencia Airport,VLC
Valladolid Airport,VLL
Vitoria Airport,VIT
Vigo Airport,VGO
Seve Ballesteros-Santander Airport,SDR
Zaragoza Airport,ZAZ
Sevilla Airport,SVQ
Bordeaux–Mérignac Airport,BOD
Bergerac Dordogne-Périgord airport,EGC
La Rochelle Île de Ré Airport,LRH
Poitiers-Biard Airport,PIS
Limoges Airport,LIG
Toulouse-Blagnac Airport,TLS
Pau Pyrénées Airport,PUF
Tarbes-Lourdes-Pyrénées Airport,LDE
Biarritz Pays Basque airport,BIQ
Castres Mazamet Airport,DCM
Rodez–Aveyron Airport,RDZ
Dole Tavaux Airport,DLE
Metz-Nancy-Lorraine Airport,ETZ
Bastia Poretta airport,BIA
Calvi Sainte Catherine Airport,CLY
Figari Sud-Corse Airport,FSC
Ajaccio Napoléon Bonaparte airport,AJA
Chambéry Aix les Bains airport,CMF
Clermont-Ferrand Auvergne airport,CFE
Lyon Saint-Exupéry Airport,LYS
Annecy Meythet airport,NCY
Grenoble Alpes Isère Airport,GNB
Aurillac airport,AUR
Carcassonne Salvaza Airport,CCF
Marseille Provence Airport,MRS
Nice-Côte d'Azur Airport,NCE
Perpignan-Rivesaltes (Llabanère) Airport,PGF
Montpellier-Méditerranée Airport,MPL
Béziers Vias airport,BZR
Avignon Caumont airport,AVN
Beauvais Tillé airport,BVA
Chalons Vatry airport,XCR
Tours Val de Loire Airport,TUF
Charles de Gaulle International Airport,CDG
Paris-Orly Airport,ORY
Lille Airport,LIL
Brest Bretagne airport,BES
Dinard Pleurtuit Saint-Malo airport,DNR
Deauville Normandie airport,DOL
Lorient South Brittany (Bretagne Sud) Airport,LRT
Caen Carpiquet airport,CFR
Le Mans-Arnage Airport,LME
Rennes-Saint-Jacques Airport,RNS
Nantes Atlantique Airport,NTE
Saint-Nazaire-Montoir Airport,SNR
EuroAirport Basel–Mulhouse–Freiburg,BSL
Dijon Longvic airport,DIJ
Brive Souillac airport,BVE
Strasbourg Airport,SXB
Toulon-Hyères Airport,TLN
Nîmes-Arles-Camargue Airport,FNI
St Pierre Airport,FSP
Alexandroupoli Democritus Airport,AXD
Athens Eleftherios Venizelos International Airport,ATH
Nea Anchialos National Airport,VOL
Chios Island National Airport,JKH
Ioannina King Pyrrhus National Airport,IOA
Heraklion International Nikos Kazantzakis Airport,HER
Kefallinia Airport,EFL
Kalamata Airport,KLX
Kos Airport,KGS
Karpathos Airport,AOK
Corfu Ioannis Kapodistrias International Airport,CFU
Kavala Alexander the Great International Airport,KVA
Kozani National Airport Filippos,KZI
Mykonos Island National Airport,JMK
Mytilene International Airport,MJT
Aktion National Airport,PVK
Diagoras Airport,RHO
Patras Araxos Agamemnon Airport,GPA
Chania International Airport,CHQ
Skiathos Island National Airport,JSI
Samos Airport,SMI
Santorini Airport,JTR
Sitia Airport,JSH
Thessaloniki Macedonia International Airport,SKG
Zakynthos International Airport Dionysios Solomos,ZTH
Budapest Liszt Ferenc International Airport,BUD
Debrecen International Airport,DEB
Pécs-Pogány Airport,PEV
Hévíz–Balaton Airport,SOB
Crotone Sant'Anna Pythagoras Airport,CRV
Bari Karol Wojtyła International Airport,BRI
Foggia Gino Lisa Airport,FOG
Abruzzo Airport,PSR
Brindisi Airport,BDS
Lamezia Terme Sant'Eufemia International Airport,SUF
Comiso Airport,CIY
Catania-Fontanarossa Airport,CTA
Lampedusa Airport,LMP
Pantelleria Airport,PNL
Falcone–Borsellino Airport,PMO
Reggio Calabria Airport,REG
Vincenzo Florio Airport Trapani-Birgi,TPS
Alghero-Fertilia Airport,AHO
Cagliari Elmas Airport,CAG
Olbia Costa Smeralda Airport,OLB
Milan Malpensa International Airport,MXP
Milan Bergamo Airport / Antonio Locatelli Air Base,BGY
Turin Airport,TRN
Genoa Cristoforo Colombo Airport,GOA
Milano Linate Airport,LIN
Parma Airport,PMF
Cuneo International Airport,CUF
Bolzano Airport,BZO
Bologna Guglielmo Marconi Airport,BLQ
Treviso Antonio Canova Airport,TSF
Forlì Luigi Ridolfi Airport,FRL
Brescia Gabriele d'Annunzio Airport,VBS
Trieste–Friuli Venezia Giulia Airport,TRS
Federico Fellini International Airport,RMI
Verona Villafranca Valerio Catullo Airport,VRN
Marche Airport,AOI
Venice Marco Polo Airport,VCE
Ciampino–G. B. Pastine International Airport,CIA
Rome–Fiumicino Leonardo da Vinci International Airport,FCO
Salerno Costa d'Amalfi Airport,QSR
Marina di Campo Airport,EBA
Naples International Airport,NAP
Pisa International Airport,PSA
"Florence Airport, Peretola",FLR
Perugia San Francesco d'Assisi – Umbria International Airport,PEG
Ljubljana Jože Pučnik Airport,LJU
Karlovy Vary Airport,KLV
Ostrava Leos Janáček Airport,OSR
Pardubice Airport,PED
Václav Havel Airport Prague,PRG
Brno-Tuřany Airport,BRQ
Ben Gurion International Airport,TLV
Ramon International Airport,ETM
Haifa International Airport,HFA
Malta International Airport,MLA
Graz Airport,GRZ
Innsbruck Airport,INN
Klagenfurt Airport,KLU
Linz-Hörsching Airport / Vogler Air Base,LNZ
Salzburg Airport,SZG
Vienna International Airport,VIE
Santa Maria Airport,SMA
Bragança Airport,BGC
Cascais Airport,CAT
Flores Airport,FLW
Faro Airport,FAO
Graciosa Airport,GRW
Horta Airport,HOR
Lajes Airport,TER
Madeira International Airport Cristiano Ronaldo,FNC
João Paulo II Airport,PDL
Pico Airport,PIX
Portimão Airport,PRM
Francisco de Sá Carneiro Airport,OPO
Porto Santo Airport,PXO
Lisbon Humberto Delgado Airport,LIS
São Jorge Airport,SJZ
Vila Real Airport,VRL
Aerodromo Goncalves Lobato (Viseu Airport),VSE
Banja Luka International Airport,BNX
Mostar International Airport,OMO
Sarajevo International Airport,SJJ
Tuzla International Airport,TZL
Arad International Airport,ARW
Bacău George Enescu International  Airport,BCM
Maramureș International Airport,BAY
Bucharest Băneasa Aurel Vlaicu International Airport,BBU
Brașov-Ghimbav International Airport,GHV
Mihail Kogălniceanu International Airport,CND
Cluj Avram Iancu International Airport,CLJ
Craiova International Airport,CRA
Iaşi Airport,IAS
Oradea International Airport,OMR
Bucharest Henri Coandă International Airport,OTP
Sibiu International Airport,SBZ
Satu Mare International Airport,SUJ
Suceava Stefan cel Mare Airport,SCV
Târgu Mureş Transilvania International Airport,TGM
Timişoara Traian Vuia Airport,TSR
Geneva Cointrin International Airport,GVA
Lugano Airport,LUG
Bern Airport,BRN
Zürich Airport,ZRH
Sankt Gallen Altenrhein Airport,ACH
Esenboğa International Airport,ESB
Adana Şakirpaşa Airport,ADA
Antalya International Airport,AYT
Gaziantep International Airport,GZT
Konya Airport,KYA
Zonguldak Çaycuma Airport,ONQ
Malatya Erhaç Airport,MLX
Kayseri Erkilet Airport,ASR
Tokat Airport,TJK
Çardak Airport,DNZ
Balıkesir Airport,BZI
Çanakkale Airport,CKZ
Adnan Menderes International Airport,ADB
Bursa Yenişehir Airport,YEI
Dalaman International Airport,DLM
Tekirdağ Çorlu Airport,TEQ
Anadolu Airport,AOE
Elazığ Airport,EZS
Ordu–Giresun Airport,OGU
Diyarbakır Airport,DIY
Erzincan Airport,ERC
Erzurum International Airport,ERZ
Kars Airport,KSY
Trabzon International Airport,TZX
Van Ferit Melen Airport,VAN
Batman Airport,BAL
Muş Airport,MSR
Sinop Airport,NOP
Kahramanmaraş Airport,KCM
Ağrı Airport,AJI
Adıyaman Airport,ADF
Mardin Airport,MQM
Şanlıurfa GAP Airport,GNY
Iğdır Airport,IGD
Şırnak Şerafettin Elçi Airport,NKT
Hakkari Yüksekova Airport,YKO
Hatay Airport,HTY
Çukurova International Airport,COV
Süleyman Demirel International Airport,ISE
Balıkesir Koca Seyit Airport,EDO
Milas Bodrum International Airport,BJV
Gazipaşa-Alanya Airport,GZP
Samsun-Çarşamba Airport,SZF
Istanbul Sabiha Gökçen International Airport,SAW
İstanbul Airport,IST
Rize–Artvin Airport,RZV
Chişinău International Airport,RMO
Ohrid St. Paul the Apostle Airport,OHD
Skopje International Airport,SKP
Gibraltar Airport,GIB
Belgrade Nikola Tesla Airport,BEG
Morava Airport,KVO
Niš Constantine the Great Airport,INI
Podgorica Airport / Podgorica Golubovci Airbase,TGD
Tivat Airport,TIV
Langzhong Gucheng Airport,LZG
M. R. Štefánik Airport,BTS
Košice International Airport,KSC
Sliač Airport,SLD
Poprad-Tatry Airport,TAT
JAGS McCartney International Airport,GDT
North Caicos Airport,NCA
Providenciales International Airport,PLS
South Caicos Airport,XSC
Maria Montez International Airport,BRX
Samaná El Catey International Airport,AZS
La Isabela International Airport,JBQ
Casa De Campo International Airport,LRM
Punta Cana International Airport,PUJ
Gregorio Luperon International Airport,POP
Las Américas International Airport,SDQ
Cibao International Airport,STI
La Aurora Airport,GUA
Puerto Barrios Airport,PBR
Retalhuleu Airport,RER
Mundo Maya International Airport,FRS
Goloson International Airport,LCE
Ramón Villeda Morales International Airport,SAP
La Laguna Airport,GJA
Juan Manuel Gálvez International Airport,RTB
Palmerola International Airport / José Enrique Soto Cano Air Base,XPL
Toncontín International Airport,TGU
Ian Fleming International Airport,OCJ
Norman Manley International Airport,KIN
Sangster International Airport,MBJ
Tinson Pen Airport,KTP
General Juan N. Álvarez International Airport,ACA
Jesús Terán Peredo International Airport,AGU
Bahías de Huatulco International Airport,HUX
Ciudad del Carmen International Airport,CME
Bachigualato Federal International Airport,CUL
Chetumal International Airport,CTM
Ciudad Obregón International Airport,CEN
Ingeniero Alberto Acuña Ongay International Airport,CPE
Abraham González International Airport,CJS
General Roberto Fierro Villalobos International Airport,CUU
General Pedro Jose Mendez International Airport,CVM
Cozumel International Airport,CZM
General Guadalupe Victoria International Airport,DGO
Amado Nervo National Airport,TPQ
Guadalajara International Airport,GDL
General José María Yáñez International Airport,GYM
General Ignacio P. Garcia International Airport,HMO
Licenciado Miguel de la Madrid International Airport,CLQ
General Antonio Cárdenas Rodríguez National Airport / Ixtepec Air Base,IZT
Valle del Fuerte International Airport,LMM
Del Bajío International Airport,BJX
Manuel Márquez de León International Airport,LAP
Loreto International Airport,LTO
General Servando Canales International Airport,MAM
Manuel Crescencio Rejón International Airport,MID
General Rodolfo Sánchez Taboada International Airport,MXL
General Francisco J. Mujica International Airport,MLM
Minatitlán/Coatzacoalcos International Airport,MTT
Benito Juárez International Airport,MEX
Monterrey International Airport,MTY
General Rafael Buelna International Airport,MZT
Quetzalcóatl International Airport,NLD
Xoxocotlán International Airport,OAX
El Tajín National Airport,PAZ
Hermanos Serdán International Airport,PBC
Piedras Negras International Airport,PDS
Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,UPN
Puerto Vallarta International Airport,PVR
Puerto Escondido International Airport,PXM
Querétaro Intercontinental Airport,QRO
General Lucio Blanco International Airport,REX
Los Cabos International Airport,SJD
General Felipe Ángeles International Airport,NLU
Ponciano Arriaga International Airport,SLP
Francisco Sarabia Tinoco International Airport,TRC
Angel Albino Corzo International Airport,TGZ
General Abelardo L. Rodriguez International Airport,TIJ
Felipe Carrillo Puerto International Airport,TQO
General Francisco Javier Mina International Airport,TAM
Adolfo López Mateos International Airport,TLC
Tapachula International Airport,TAP
Cancún International Airport,CUN
Carlos Rovirosa Pérez International Airport,VSA
General Heriberto Jara International Airport,VER
General Leobardo C. Ruiz International Airport,ZCL
Ixtapa-Zihuatanejo International Airport,ZIH
Playa de Oro International Airport,ZLO
Bluefields Airport,BEF
Augusto C. Sandino (Managua) International Airport,MGA
Puerto Cabezas Airport,PUZ
Bocas del Toro International Airport,BOC
Alonso Valderrama Airport,CTD
Changuinola Captain Manuel Niño International Airport,CHX
Enrique Malek International Airport,DAV
Enrique Adolfo Jimenez Airport,ONX
Marcos A. Gelabert International Airport,PAC
Tocumen International Airport,PTY
Golfito Airport,GLF
Guanacaste Airport,LIR
Limon International Airport,LIO
Nosara Airport,NOB
Juan Santamaría International Airport,SJO
Puerto Jimenez Airport,PJM
Tobías Bolaños International Airport,SYQ
Quepos Managua Airport,XQP
Monseñor Óscar Arnulfo Romero International Airport,SAL
Ilopango International Airport,ILS
Antoine-Simon International Airport,CYA
Cap Haitien International Airport,CAP
Jérémie Airport,JEE
Toussaint Louverture International Airport,PAP
Gustavo Rizo Airport,BCA
Carlos Manuel de Cespedes Airport,BYM
Jardines Del Rey Airport,CCC
Jaime Gonzalez Airport,CFG
Vilo Acuña International Airport,CYO
Ignacio Agramonte International Airport,CMW
Antonio Maceo International Airport,SCU
José Martí International Airport,HAV
Frank Pais International Airport,HOG
Sierra Maestra International Airport,MZO
Rafael Cabrera Airport,GER
Abel Santamaria Airport,SNU
Alberto Delgado Airport,TND
Juan Gualberto Gomez International Airport,VRA
Hermanos Ameijeiras Airport,VTU
Charles Kirkconnell International Airport,CYB
Owen Roberts International Airport,GCM
Congo Town Airport,TZN
Leonard M Thompson International Airport,MHH
San Andros Airport,SAQ
Spring Point Airport,AXP
Treasure Cay Airport,TCB
Chub Cay Airport,CCZ
South Bimini Airport,BIM
Arthur's Town Airport,ATC
New Bight Airport,TBI
Colonel Hill Airport,CRI
Exuma International Airport,GGT
North Eleuthera Airport,ELH
Governor's Harbour Airport,GHB
Grand Bahama International Airport,FPO
Inagua Airport,IGA
Deadman's Cay Airport,LGI
Stella Maris Airport,SML
Mayaguana Airport,MYG
Lynden Pindling International Airport,NAS
San Salvador Airport,ZSA
Philip S. W. Goldson International Airport,BZE
Placencia Airport,PLJ
Rarotonga International Airport,RAR
Nadi International Airport,NAN
Nausori International Airport,SUV
Labasa Airport,LBS
Fua'amotu International Airport,TBU
Lifuka Island Airport,HPA
Vava'u International Airport,VAV
Funafuti International Airport,FUN
Bonriki International Airport,TRW
Niue International Airport,IUE
Ninglang Luguhu Airport,NLH
Hihifo Airport,WLS
Pokhara International Airport,PHH
Faleolo International Airport,APW
Pago Pago International Airport,PPG
Faa'a International Airport,PPT
Rurutu Airport,RUR
Tubuai Airport,TUB
Anaa Airport,AAA
Fangatau Airport,FGU
Tikehau Airport,TIH
Fakarava Airport,FAV
Manihi Airport,XMH
Totegegie Airport,GMR
Kaukura Airport,KKR
Makemo Airport,MKP
Takapoto Airport,TKP
Arutua Airport,AXR
Mataiva Airport,MVT
Ahe Airport,AHE
Takaroa Airport,TKX
Nuku Hiva Airport,NHV
Hiva Oa-Atuona Airport,AUQ
Bora Bora Airport,BOB
Rangiroa Airport,RGI
Huahine-Fare Airport,HUH
Moorea Temae Airport,MOZ
Hao Airport,HOI
Maupiti Airport,MAU
Raiatea Airport,RFP
Santo Pekoa International Airport,SON
Bauerfield International Airport,VLI
Whitegrass Airport,TAH
Tiga Airport,TGJ
Koné Airport,KNQ
Île des Pins Airport,ILP
Lifou Airport,LIF
Nouméa Magenta Airport,GEA
Maré Airport,MEE
Touho Airport,TOU
Ouvéa Airport,UVE
La Tontouta International Airport,NOU
Auckland International Airport,AKL
Taupo Airport,TUO
Christchurch International Airport,CHC
Chatham Islands / Tuuta Airport,CHT
Dunedin International Airport,DUD
Gisborne Airport,GIS
Hokitika Airfield,HKK
Hamilton International Airport,HLZ
Kerikeri Airport,KKE
Kaitaia Airport,KAT
New Plymouth Airport,NPL
Hawke's Bay Airport,NPE
Nelson Airport,NSN
Invercargill Airport,IVC
Palmerston North Airport,PMR
Queenstown International Airport,ZQN
Rotorua Regional Airport,ROT
Tauranga Airport,TRG
Timaru Airport,TIU
Woodbourne Airport,BHE
Wanaka Airport,WKA
Whakatane Airport,WHK
Wellington International Airport,WLG
Whangarei Airport,WRE
Westport Airport,WSZ
Wanganui Airport,WAG
Herat - Khwaja Abdullah Ansari International Airport,HEA
Kabul International Airport,KBL
Ahmad Shah Baba International Airport / Kandahar Airfield,KDH
Maymana Zahiraddin Faryabi Airport,MMZ
Mazar-i-Sharif International Airport,MZR
Bahrain International Airport,BAH
Abha International Airport,AHB
Al-Ahsa International Airport,HOF
Majeed Bin Abdulaziz Airport,ULH
King Saud Bin Abdulaziz (Al Baha) Airport,ABT
Bisha Airport,BHH
King Fahd International Airport,DMM
King Salman Abdulaziz Airport,DWD
Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,GIZ
Gassim Airport,ELQ
Gurayat Domestic Airport,URY
Ha'il Airport,HAS
King Abdulaziz International Airport,JED
King Khaled Military City Airport,KMC
Prince Mohammad Bin Abdulaziz Airport,MED
Najran Domestic Airport,EAM
Neom Bay Airport,NUM
Al Qaisumah/Hafr Al Batin Airport,AQI
Rafha Domestic Airport,RAH
King Khaled International Airport,RUH
Arar Domestic Airport,RAE
Sharurah Domestic Airport,SHW
Al-Jawf Domestic Airport,AJF
Tabuk Airport,TUU
Ta’if Regional Airport,TIF
Turaif Domestic Airport,TUI
Wadi Al Dawasir Domestic Airport,WAE
Al Wajh Domestic Airport,EJH
Prince Abdul Mohsin bin Abdulaziz International Airport / Yanbu Airport,YNB
Abadan Airport,ABD
Dezful Airport,DEF
Gachsaran Airport,GCH
Mahshahr Airport,MRX
Lieutenant General Qasem Soleimani International Airport,AWZ
Abu Musa Island Airport,AEU
Bushehr Airport,BUZ
